종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
삼성전자,71700,700,-0.97%,100,6394446,4280334,433766,15.24,12.72,KOSPI
LG에너지솔루션,442500,6000,-1.34%,500,132375,1035450,12137,68.06,2.51,KOSPI
SK하이닉스,128000,2100,-1.61%,5000,1854696,931843,68094,-8.12,2.24,KOSPI
삼성바이오로직스,709000,12000,-1.66%,2500,46246,504624,9836,53.86,6.5,KOSPI
POSCO홀딩스,472500,2500,-0.53%,5000,367572,399599,48501,32.27,3.75,KOSPI
현대차,184000,800,-0.43%,5000,160948,389218,98198,4.42,3.26,KOSPI
LG화학,514000,5000,-0.96%,5000,268177,362845,29957,30.89,3.69,KOSPI
기아,84200,300,-0.36%,5000,539464,338521,72331,3.7,7.7,KOSPI
NAVER,205500,0,0.00%,100,303818,333750,13047,39.79,1.99,KOSPI
삼성SDI,463000,12000,-2.53%,5000,233083,318380,18080,15.41,7.27,KOSPI
셀트리온,168000,4900,-2.83%,1000,510946,245957,6472,40.72,9.38,KOSPI
포스코퓨처엠,303500,2500,-0.82%,500,746856,235101,1659,290.71,2.85,KOSPI
카카오,50500,200,0.40%,100,1003596,224470,5803,515.31,4.65,KOSPI
현대모비스,232500,500,-0.21%,5000,40245,217748,20265,6.42,4.65,KOSPI
KB금융,53700,600,-1.10%,5000,449034,216685,56389,4.73,0.61,KOSPI
삼성물산,116100,2300,-1.94%,100,181281,215472,25285,9.47,4.46,KOSPI
신한지주,36750,200,-0.54%,5000,404379,189448,58881,4.26,0.72,KOSPI
LG전자,104900,1100,-1.04%,5000,354960,171667,35510,28.19,3.43,KOSPI
SK이노베이션,141500,1200,-0.84%,5000,180229,142428,39173,-57.29,3.25,KOSPI
삼성생명,69800,500,-0.71%,500,80715,139600,13866,6.55,0.52,KOSPI
LG,82200,1200,-1.44%,5000,101425,129301,19414,12.4,7.65,KOSPI
삼성화재,261500,500,-0.19%,500,59056,123885,16061,7.79,1.4,KOSPI
하나금융지주,41750,550,-1.30%,5000,418393,122059,46903,3.21,0.68,KOSPI
카카오뱅크,25550,450,-1.73%,5000,637875,121824,3532,37.68,0.7,KOSPI
KT&G,90600,0,0.00%,5000,173526,121243,12676,16.97,8.4,KOSPI
한국전력,18790,40,0.21%,5000,1870812,120625,-326552,-0.87,-10.96,KOSPI
삼성에스디에스,155200,7900,5.36%,500,354954,120090,9161,15.1,10.06,KOSPI
SK,160700,2600,-1.59%,200,111889,117630,80047,-15.04,2.2,KOSPI
SK텔레콤,51800,200,-0.38%,100,569400,113356,16121,10.03,3.05,KOSPI
메리츠금융지주,54400,1300,-2.33%,500,334579,113271,22009,5.2,1.88,KOSPI
HMM,15670,660,-4.04%,5000,1493306,107972,99516,3.61,46,KOSPI
HD현대중공업,119900,1900,-1.56%,5000,71514,106439,-2892,-63.31,-2.25,KOSPI
포스코인터내셔널,58900,700,1.20%,5000,646414,103619,9025,13.75,5.2,KOSPI
고려아연,491500,0,0.00%,5000,18385,102766,9192,16.43,7.24,KOSPI
삼성전기,137000,1200,-0.87%,5000,130928,102330,11828,21.62,9.49,KOSPI
크래프톤,205500,4500,-2.14%,100,76174,99385,7516,22.69,8.52,KOSPI
두산에너빌리티,15020,80,0.54%,5000,1684343,96212,11061,-22.45,-1.94,KOSPI
우리금융지주,12700,10,-0.08%,5000,735909,95498,44305,3.17,0.72,KOSPI
기업은행,11700,30,0.26%,5000,649530,93299,37748,3.18,0.67,KOSPI
하이브,210500,1500,-0.71%,500,161352,87678,2369,113.72,1,KOSPI
KT,32900,250,-0.75%,5000,284736,84836,16901,7.16,3.55,KOSPI
대한항공,22400,400,-1.75%,5000,582118,82481,28306,6.13,6.21,KOSPI
S-Oil,70100,100,0.14%,2500,141294,78921,34052,8.04,10.99,KOSPI
아모레퍼시픽,130000,2100,-1.59%,500,90443,76041,2142,55.75,2.17,KOSPI
HD한국조선해양,102000,600,-0.58%,5000,120272,72189,-3556,48,-1.03,KOSPI
SK바이오팜,86800,3600,-3.98%,500,107021,67976,-1311,-81.43,-21.32,KOSPI
에코프로머티,99100,0,0.00%,500,4397999,67613,390,337.07,3.1,KOSPI
삼성중공업,7630,260,-3.30%,1000,4596679,67144,-8544,-32.75,-4.71,KOSPI
SK스퀘어,48050,950,-1.94%,100,184216,66780,1628,-4.18,1.14,KOSPI
현대글로비스,177100,1900,-1.06%,500,22890,66412,17985,5.66,9.16,KOSPI
롯데케미칼,154600,100,-0.06%,5000,42490,66131,-7626,-218.98,0.11,KOSPI
금양,105300,5400,5.41%,500,990266,61127,132,-107.89,-9.75,KOSPI
한화에어로스페이스,120100,1800,-1.48%,5000,155133,60807,3772,8.65,1.16,KOSPI
카카오페이,45200,500,-1.09%,500,74870,60627,-455,134.93,0.79,KOSPI
한미반도체,60800,1100,1.84%,100,706958,59182,1119,33.17,20.86,KOSPI
