,종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA,시장
0,삼성전자,71300.0,400.0,-0.56%,100.0,6825895.0,4256455.0,433766.0,15.16,12.72,KOSPI
1,LG에너지솔루션,433000.0,9500.0,-2.15%,500.0,127730.0,1013220.0,12137.0,66.59,2.51,KOSPI
2,SK하이닉스,130200.0,2200.0,+1.72%,5000.0,1898810.0,947859.0,68094.0,-8.25,2.24,KOSPI
3,삼성바이오로직스,703000.0,6000.0,-0.85%,2500.0,47185.0,500353.0,9836.0,53.4,6.5,KOSPI
4,POSCO홀딩스,468000.0,4500.0,-0.95%,5000.0,297651.0,395793.0,48501.0,31.96,3.75,KOSPI
5,현대차,184500.0,500.0,+0.27%,5000.0,156703.0,390276.0,98198.0,4.44,3.26,KOSPI
6,LG화학,506000.0,8000.0,-1.56%,5000.0,133696.0,357197.0,29957.0,30.4,3.69,KOSPI
7,기아,84300.0,100.0,+0.12%,5000.0,379180.0,338923.0,72331.0,3.7,7.7,KOSPI
8,NAVER,206000.0,500.0,+0.24%,100.0,483283.0,334562.0,13047.0,39.88,1.99,KOSPI
9,삼성SDI,454000.0,9000.0,-1.94%,5000.0,160640.0,312191.0,18080.0,15.11,7.27,KOSPI
10,셀트리온,162300.0,5700.0,-3.39%,1000.0,398537.0,237612.0,6472.0,39.34,9.38,KOSPI
11,포스코퓨처엠,301000.0,2500.0,-0.82%,500.0,369378.0,233164.0,1659.0,288.31,2.85,KOSPI
12,카카오,49850.0,650.0,-1.29%,100.0,1366383.0,221581.0,5803.0,508.67,4.65,KOSPI
13,현대모비스,231500.0,1000.0,-0.43%,5000.0,37180.0,216812.0,20265.0,6.4,4.65,KOSPI
14,삼성물산,116600.0,500.0,+0.43%,100.0,73938.0,216400.0,25285.0,9.51,4.46,KOSPI
15,KB금융,52400.0,1300.0,-2.42%,5000.0,1087003.0,211440.0,56389.0,4.61,0.61,KOSPI
16,신한지주,36650.0,100.0,-0.27%,5000.0,488262.0,188932.0,58881.0,4.25,0.72,KOSPI
17,LG전자,103800.0,1100.0,-1.05%,5000.0,365276.0,169866.0,35510.0,27.9,3.43,KOSPI
18,SK이노베이션,139700.0,1800.0,-1.27%,5000.0,167356.0,140616.0,39173.0,-56.56,3.25,KOSPI
19,삼성생명,69500.0,300.0,-0.43%,500.0,73634.0,139000.0,13866.0,6.52,0.52,KOSPI
20,LG,81700.0,500.0,-0.61%,5000.0,78923.0,128515.0,19414.0,12.32,7.65,KOSPI
21,삼성화재,266000.0,4500.0,+1.72%,500.0,47569.0,126017.0,16061.0,7.93,1.4,KOSPI
22,삼성에스디에스,158800.0,3600.0,+2.32%,500.0,223324.0,122876.0,9161.0,15.45,10.06,KOSPI
23,한국전력,19020.0,230.0,+1.22%,5000.0,1271471.0,122102.0,-326552.0,-0.88,-10.96,KOSPI
24,KT&G,91000.0,400.0,+0.44%,5000.0,127452.0,121778.0,12676.0,17.04,8.4,KOSPI
25,하나금융지주,41350.0,400.0,-0.96%,5000.0,622130.0,120889.0,46903.0,3.18,0.68,KOSPI
26,카카오뱅크,25300.0,250.0,-0.98%,5000.0,483080.0,120632.0,3532.0,37.32,0.7,KOSPI
27,SK,161800.0,1100.0,+0.68%,200.0,83787.0,118435.0,80047.0,-15.14,2.2,KOSPI
28,메리츠금융지주,55500.0,1100.0,+2.02%,500.0,277723.0,115561.0,22009.0,5.3,1.88,KOSPI
29,SK텔레콤,52100.0,300.0,+0.58%,100.0,507297.0,114012.0,16121.0,10.09,3.05,KOSPI
30,HD현대중공업,124200.0,4300.0,+3.59%,5000.0,86911.0,110256.0,-2892.0,-65.58,-2.25,KOSPI
31,HMM,15340.0,330.0,-2.11%,5000.0,914326.0,105699.0,99516.0,3.54,46.0,KOSPI
32,크래프톤,216500.0,11000.0,+5.35%,100.0,131325.0,104705.0,7516.0,23.91,8.52,KOSPI
33,삼성전기,138300.0,1300.0,+0.95%,5000.0,166305.0,103301.0,11828.0,21.83,9.49,KOSPI
34,고려아연,489500.0,2000.0,-0.41%,5000.0,13925.0,102348.0,9192.0,16.37,7.24,KOSPI
35,포스코인터내셔널,57400.0,1500.0,-2.55%,5000.0,592862.0,100980.0,9025.0,13.4,5.2,KOSPI
36,우리금융지주,12730.0,30.0,+0.24%,5000.0,848945.0,95723.0,44305.0,3.18,0.72,KOSPI
37,두산에너빌리티,14940.0,80.0,-0.53%,5000.0,1487898.0,95700.0,11061.0,-22.33,-1.94,KOSPI
38,기업은행,11700.0,0.0,0.00%,5000.0,438727.0,93299.0,37748.0,3.18,0.67,KOSPI
39,하이브,212500.0,2000.0,+0.95%,500.0,143443.0,88511.0,2369.0,114.8,1.0,KOSPI
40,에코프로머티,127000.0,27900.0,+28.15%,500.0,12105932.0,86648.0,390.0,431.97,3.1,KOSPI
41,KT,33150.0,250.0,+0.76%,5000.0,253038.0,85481.0,16901.0,7.22,3.55,KOSPI
42,대한항공,22000.0,400.0,-1.79%,5000.0,558691.0,81009.0,28306.0,6.02,6.21,KOSPI
43,S-Oil,70200.0,100.0,+0.14%,2500.0,93520.0,79033.0,34052.0,8.05,10.99,KOSPI
44,아모레퍼시픽,133700.0,3700.0,+2.85%,500.0,86822.0,78205.0,2142.0,57.33,2.17,KOSPI
45,HD한국조선해양,105200.0,3200.0,+3.14%,5000.0,139343.0,74453.0,-3556.0,49.51,-1.03,KOSPI
46,삼성중공업,7830.0,200.0,+2.62%,1000.0,3091360.0,68904.0,-8544.0,-33.61,-4.71,KOSPI
47,SK스퀘어,48950.0,900.0,+1.87%,100.0,215776.0,68031.0,1628.0,-4.26,1.14,KOSPI
48,롯데케미칼,158300.0,3700.0,+2.39%,5000.0,70061.0,67713.0,-7626.0,-224.22,0.11,KOSPI
49,SK바이오팜,86100.0,700.0,-0.81%,500.0,66913.0,67428.0,-1311.0,-80.77,-21.32,KOSPI
50,현대글로비스,177200.0,100.0,+0.06%,500.0,13621.0,66450.0,17985.0,5.67,9.16,KOSPI
51,금양,108100.0,2800.0,+2.66%,500.0,654358.0,62752.0,132.0,-110.76,-9.75,KOSPI
52,카카오페이,45450.0,250.0,+0.55%,500.0,77173.0,60962.0,-455.0,135.67,0.79,KOSPI
53,한화에어로스페이스,118600.0,1500.0,-1.25%,5000.0,165387.0,60047.0,3772.0,8.54,1.16,KOSPI
54,엔씨소프트,271000.0,1500.0,+0.56%,500.0,242919.0,59495.0,5590.0,38.74,9.67,KOSPI
55,한미반도체,59700.0,1100.0,-1.81%,100.0,720062.0,58112.0,1119.0,32.57,20.86,KOSPI
56,DB손해보험,81300.0,0.0,0.00%,500.0,90429.0,57560.0,13331.0,4.1,1.53,KOSPI
57,한화솔루션,33300.0,500.0,-1.48%,5000.0,537666.0,57240.0,9662.0,528.57,1.67,KOSPI
58,한국타이어앤테크놀로지,45650.0,850.0,+1.90%,500.0,125311.0,56549.0,7058.0,9.86,5.82,KOSPI
59,LG이노텍,234500.0,9000.0,-3.70%,5000.0,129643.0,55499.0,12718.0,13.27,11.18,KOSPI
60,LG생활건강,339500.0,2000.0,+0.59%,5000.0,29925.0,53024.0,7111.0,39.57,3.48,KOSPI
61,삼성엔지니어링,25850.0,100.0,+0.39%,5000.0,275916.0,50666.0,7029.0,5.74,8.56,KOSPI
62,한화오션,23300.0,650.0,+2.87%,5000.0,3532125.0,50532.0,-16136.0,-7.25,-15.27,KOSPI
63,현대오토에버,181800.0,9100.0,+5.27%,500.0,238741.0,49857.0,1424.0,33.57,4.68,KOSPI
64,HD현대,62400.0,1500.0,+2.46%,1000.0,211435.0,49292.0,33870.0,11.18,4.41,KOSPI
65,SK아이이테크놀로지,69000.0,300.0,-0.43%,1000.0,77336.0,49195.0,-523.0,271.65,-0.89,KOSPI
66,넷마블,57100.0,1600.0,+2.88%,100.0,247763.0,49079.0,-1087.0,-9.89,-9.05,KOSPI
67,코스모신소재,158400.0,600.0,-0.38%,1000.0,65614.0,48551.0,325.0,255.9,6.93,KOSPI
68,CJ제일제당,319500.0,0.0,0.00%,5000.0,13134.0,48098.0,16647.0,16.1,2.82,KOSPI
69,현대제철,35700.0,150.0,+0.42%,5000.0,149863.0,47640.0,16165.0,12.54,2.81,KOSPI
70,유한양행,61900.0,0.0,0.00%,1000.0,157097.0,47439.0,360.0,54.68,3.67,KOSPI
